tv_a_volumeup,02-00-00-00-00-00-00-04-90-0c
tv_a_volumedown,02-00-00-00-00-00-00-0c-90-0c
tv_a_mute,02-00-00-00-00-00-00-02-90-0c
tv_a_input,01-00-00-00-00-05-FA-58-A7-20
tv_a_up,01-00-00-00-00-05-FA-9A-65-20
tv_a_down,01-00-00-00-00-05-FA-8A-75-20
tv_a_enter,01-00-00-00-00-05-FA-AA-55-20
tv_a_power,02-00-00-00-00-00-00-0a-90-0c
tv_a_period,02-00-00-00-00-00-00-5c-e9-0f
dvr_a_zero,02-00-00-00-00-00-00-09-10-0c
dvr_a_one,02-00-00-00-00-00-00-00-10-0c
dvr_a_two,02-00-00-00-00-00-00-08-10-0c
dvr_a_three,02-00-00-00-00-00-00-04-10-0c
dvr_a_four,02-00-00-00-00-00-00-0c-10-0c
dvr_a_five,02-00-00-00-00-00-00-02-10-0c
dvr_a_six,02-00-00-00-00-00-00-0a-10-0c
dvr_a_seven,02-00-00-00-00-00-00-06-10-0c
dvr_a_eight,02-00-00-00-00-00-00-0e-10-0c
dvr_a_nine,02-00-00-00-00-00-00-01-10-0c
dvr_a_last,0B-00-00-00-00-23-40-26-0A-11
dvr_a_power,0B-00-00-00-00-23-40-A6-0C-11
dvr_a_info,0B-00-00-00-00-23-40-26-0F-11
dvr_a_chpg+,0B-00-00-00-00-23-40-A6-20-11
dvr_a_chpg-,0B-00-00-00-00-23-40-A6-21-11
dvr_a_ff,0B-00-00-00-00-23-40-26-28-11
dvr_a_rew,0B-00-00-00-00-23-40-A6-29-11
dvr_a_play,0B-00-00-00-00-23-40-26-2C-11
dvr_a_pause,0B-00-00-00-00-23-40-26-30-11
dvr_a_stop,0B-00-00-00-00-23-40-A6-31-11
dvr_a_record,0B-00-00-00-00-23-40-26-37-11
dvr_a_a,0B-00-00-00-00-23-40-A6-38-11
dvr_a_b,0B-00-00-00-00-23-40-A6-39-11
dvr_a_recordedtv,0B-00-00-00-00-23-40-26-44-11
dvr_a_fwd,0B-00-00-00-00-23-40-A6-4C-11
dvr_a_replay,0B-00-00-00-00-23-40-26-4D-11
dvr_a_menu,0B-00-00-00-00-23-40-A6-54-11
dvr_a_exit,0B-00-00-00-00-23-40-A6-55-11
dvr_a_up,0B-00-00-00-00-23-40-A6-58-11
dvr_a_down,0B-00-00-00-00-23-40-26-59-11
dvr_a_left,0B-00-00-00-00-23-40-A6-5A-11
dvr_a_right,0B-00-00-00-00-23-40-A6-5B-11
dvr_a_ok,0B-00-00-00-00-23-40-A6-5C-11
dvr_a_back,0B-00-00-00-00-23-40-A6-83-11
dvr_a_c,0B-00-00-00-00-23-40-A6-86-11
dvr_a_delete,0B-00-00-00-00-23-40-A6-9E-11
dvr_a_tvvideo,0B-00-00-00-00-23-40-26-A8-11
dvr_a_guide,0B-00-00-00-00-23-40-26-CC-11
dvr_a_enter,0B-00-00-00-00-23-40-26-E1-11
dvr_a_videoondemand,0B-00-00-00-00-23-40-A6-F0-11
dvr_a_gointeractive,0B-00-00-00-00-23-40-A6-FD-11
xbox_a_OpenClose,04-00-00-00-0c-80-0f-74-28-24
xbox_a_XboxFancyButton,04-00-00-00-0C-80-0f-f4-64-24
xbox_a_OnOff,04-00-00-00-0C-80-0f-74-0c-24
xbox_a_Stop,04-00-00-00-0C-80-0f-f4-19-24
xbox_a_Pause,04-00-00-00-0C-80-0f-74-18-24
xbox_a_Rewind,04-00-00-00-0C-80-0f-f4-15-24
xbox_a_FastForward,04-00-00-00-0C-80-0f-74-14-24
xbox_a_Prev,04-00-00-00-0C-80-0f-f4-1b-24
xbox_a_Next,04-00-00-00-0C-80-0f-74-1a-24
xbox_a_Play,04-00-00-00-0C-80-0f-f4-16-24
xbox_a_Display,04-00-00-00-0C-80-0f-74-4f-24
xbox_a_Title,04-00-00-00-0C-80-0f-f4-51-24
xbox_a_DVDMenu,04-00-00-00-0C-80-0f-74-24-24
xbox_a_Back,04-00-00-00-0C-80-0f-f4-23-24
xbox_a_Info,04-00-00-00-0C-80-0f-74-0f-24
xbox_a_UpArrow,04-00-00-00-0C-80-0f-f4-1e-24
xbox_a_LeftArrow,04-00-00-00-0C-80-0f-74-20-24
xbox_a_RightArrow,04-00-00-00-0C-80-0f-f4-21-24
xbox_a_DownArrow,04-00-00-00-0C-80-0f-74-1f-24
xbox_a_OK,04-00-00-00-0C-80-0f-f4-22-24
xbox_a_Y,04-00-00-00-0C-80-0f-74-26-24
xbox_a_X,04-00-00-00-0C-80-0f-f4-68-24
xbox_a_A,04-00-00-00-0C-80-0f-74-66-24
xbox_a_B,04-00-00-00-0C-80-0f-f4-25-24
xbox_a_ChUp,04-00-00-00-0C-80-0f-74-12-24
xbox_a_ChDown,04-00-00-00-0C-80-0f-f4-13-24
xbox_a_VolDown,04-00-00-00-0C-80-0f-f4-11-24
xbox_a_VolUp,04-00-00-00-0C-80-0f-f4-10-24
xbox_a_Mute,04-00-00-00-0C-80-0f-f4-0e-24
xbox_a_Start,04-00-00-00-0C-80-0f-f4-0d-24
xbox_a_Play,04-00-00-00-0C-80-0f-74-16-24
xbox_a_Enter,04-00-00-00-0C-80-0f-f4-0b-24
xbox_a_Record,04-00-00-00-0C-80-0f-74-17-24
xbox_a_Clear,04-00-00-00-0C-80-0f-f4-0a-24
xbox_a_zero,04-00-00-00-0C-80-0f-74-00-24
xbox_a_one,04-00-00-00-0C-80-0f-74-01-24
xbox_a_two,04-00-00-00-0C-80-0f-f4-02-24
xbox_a_three,04-00-00-00-0C-80-0f-74-03-24
xbox_a_four,04-00-00-00-0C-80-0f-f4-04-24
xbox_a_five,04-00-00-00-0C-80-0f-74-05-24
xbox_a_six,04-00-00-00-0C-80-0f-f4-06-24
xbox_a_seven,04-00-00-00-0C-80-0f-74-07-24
xbox_a_eight,04-00-00-00-0C-80-0f-f4-08-24
xbox_a_nine,04-00-00-00-0C-80-0f-74-09-24
xbox_a_onehundred,04-00-00-00-0C-80-0f-f4-1d-24
xbox_a_Reload,04-00-00-00-0C-80-0f-74-1c-24
hdmi_a_Power,01-00-00-00-00-00-df-40-bf-20
hdmi_a_One,01-00-00-00-00-00-df-10-ef-20
hdmi_a_Two,01-00-00-00-00-00-df-50-af-20
hdmi_a_Three,01-00-00-00-00-00-df-30-cf-20
hdmi_a_Four,01-00-00-00-00-00-df-70-8f-20
hdmi_a_Five,01-00-00-00-00-00-df-88-77-20